date,visitor,home,visitor_points,home_points
2023-12-08,Houston Rockets,Denver Nuggets, 114,106 
2023-12-08,Sacramento Kings,Phoenix Suns, 114,106 
2023-12-08,LA Clippers,Utah Jazz, 117,103 
2023-12-08,Dallas Mavericks,Portland Trail Blazers, 125,112 
2023-12-09,Indiana Pacers,Los Angeles Lakers, 109,123 
2023-12-11,Miami Heat,Charlotte Hornets, 116,114 
2023-12-11,Indiana Pacers,Detroit Pistons, 131,123 
2023-12-11,Cleveland Cavaliers,Orlando Magic, 94,104 
2023-12-11,Washington Wizards,Philadelphia 76ers, 101,146 
2023-12-11,Denver Nuggets,Atlanta Hawks, 129,122 
2023-12-11,Toronto Raptors,New York Knicks, 130,136 
2023-12-11,San Antonio Spurs,Houston Rockets, 82,93 
2023-12-11,Dallas Mavericks,Memphis Grizzlies, 120,113 
2023-12-11,Chicago Bulls,Milwaukee Bucks, 129,133 
2023-12-11,Minnesota Timberwolves,New Orleans Pelicans, 107,121 
2023-12-11,Utah Jazz,Oklahoma City Thunder, 120,134 
2023-12-11,Brooklyn Nets,Sacramento Kings, 118,131 
2023-12-11,Portland Trail Blazers,LA Clippers, 127,132 
2023-12-12,Cleveland Cavaliers,Boston Celtics, 113,120 
2023-12-12,Los Angeles Lakers,Dallas Mavericks, 125,127 
2023-12-12,Denver Nuggets,Chicago Bulls, 114,106 
2023-12-12,Golden State Warriors,Phoenix Suns, 116,119 
2023-12-12,Sacramento Kings,LA Clippers, 99,119 
2023-12-13,Philadelphia 76ers,Detroit Pistons, 129,111 
2023-12-13,New Orleans Pelicans,Washington Wizards, 142,122 
2023-12-13,Charlotte Hornets,Miami Heat, 104,115 
2023-12-13,Atlanta Hawks,Toronto Raptors, 128,135 
2023-12-13,Memphis Grizzlies,Houston Rockets, 104,117 
2023-12-13,Indiana Pacers,Milwaukee Bucks, 126,140 
2023-12-13,Los Angeles Lakers,San Antonio Spurs, 122,119 
2023-12-13,Brooklyn Nets,Phoenix Suns, 116,112 
2023-12-13,New York Knicks,Utah Jazz, 113,117 
2023-12-14,Cleveland Cavaliers,Boston Celtics, 107,116 
