date,visitor,home,visitor_points,home_points
2015-11-23,Sacramento Kings,Charlotte Hornets,122.0,127.0
2015-11-24,Chicago Bulls,Portland Trail Blazers,93.0,88.0
2015-11-24,Indiana Pacers,Washington Wizards,123.0,106.0
2015-11-24,Dallas Mavericks,Memphis Grizzlies,96.0,110.0
2015-11-24,LA Clippers,Denver Nuggets,111.0,94.0
2015-11-24,Los Angeles Lakers,Golden State Warriors,77.0,111.0
2015-11-24,Boston Celtics,Atlanta Hawks,97.0,121.0
2015-11-25,Washington Wizards,Charlotte Hornets,87.0,101.0
2015-11-25,Brooklyn Nets,Oklahoma City Thunder,99.0,110.0
2015-11-25,Miami Heat,Detroit Pistons,81.0,104.0
2015-11-25,Cleveland Cavaliers,Toronto Raptors,99.0,103.0
2015-11-25,Philadelphia 76ers,Boston Celtics,80.0,84.0
2015-11-25,Dallas Mavericks,San Antonio Spurs,83.0,88.0
2015-11-25,New York Knicks,Orlando Magic,91.0,100.0
2015-11-25,Sacramento Kings,Milwaukee Bucks,129.0,118.0
2015-11-25,New Orleans Pelicans,Phoenix Suns,120.0,114.0
2015-11-25,Atlanta Hawks,Minnesota Timberwolves,95.0,99.0
2015-11-25,Memphis Grizzlies,Houston Rockets,102.0,93.0
2015-11-25,Utah Jazz,LA Clippers,102.0,91.0
2015-11-27,Milwaukee Bucks,Orlando Magic,90.0,114.0
2015-11-27,Chicago Bulls,Indiana Pacers,92.0,104.0
2015-11-27,Detroit Pistons,Oklahoma City Thunder,87.0,103.0
2015-11-27,Washington Wizards,Boston Celtics,78.0,111.0
2015-11-27,Philadelphia 76ers,Houston Rockets,114.0,116.0
2015-11-27,Atlanta Hawks,Memphis Grizzlies,116.0,101.0
2015-11-27,Cleveland Cavaliers,Charlotte Hornets,95.0,90.0
2015-11-27,New Orleans Pelicans,LA Clippers,90.0,111.0
2015-11-27,Miami Heat,New York Knicks,97.0,78.0
2015-11-27,Golden State Warriors,Phoenix Suns,135.0,116.0
2015-11-27,San Antonio Spurs,Denver Nuggets,91.0,80.0
2015-11-27,Minnesota Timberwolves,Sacramento Kings,101.0,91.0
2015-11-28,Denver Nuggets,Dallas Mavericks,81.0,92.0
2015-11-28,Toronto Raptors,Washington Wizards,84.0,82.0
2015-11-28,New Orleans Pelicans,Utah Jazz,87.0,101.0
2015-11-28,Brooklyn Nets,Cleveland Cavaliers,88.0,90.0
2015-11-28,Atlanta Hawks,San Antonio Spurs,88.0,108.0
2015-11-28,Los Angeles Lakers,Portland Trail Blazers,96.0,108.0
2015-11-28,Sacramento Kings,Golden State Warriors,101.0,120.0
2015-11-29,Minnesota Timberwolves,LA Clippers,99.0,107.0
2015-11-29,Boston Celtics,Orlando Magic,91.0,110.0
2015-11-29,Detroit Pistons,Brooklyn Nets,83.0,87.0
2015-11-29,Indiana Pacers,Los Angeles Lakers,107.0,103.0
2015-11-29,Phoenix Suns,Toronto Raptors,107.0,102.0
2015-11-29,Philadelphia 76ers,Memphis Grizzlies,84.0,92.0
2015-11-29,Houston Rockets,New York Knicks,116.0,111.0
2015-11-29,Milwaukee Bucks,Charlotte Hornets,82.0,87.0
2015-11-30,Portland Trail Blazers,LA Clippers,87.0,102.0
2015-11-30,Boston Celtics,Miami Heat,105.0,95.0
2015-11-30,Oklahoma City Thunder,Atlanta Hawks,100.0,106.0
2015-11-30,San Antonio Spurs,Chicago Bulls,89.0,92.0
2015-11-30,Dallas Mavericks,Sacramento Kings,98.0,112.0
2015-11-30,Houston Rockets,Detroit Pistons,105.0,116.0
2015-11-30,Denver Nuggets,Milwaukee Bucks,74.0,92.0
2015-11-30,Golden State Warriors,Utah Jazz,106.0,103.0
2015-12-01,Memphis Grizzlies,New Orleans Pelicans,113.0,104.0
2015-12-01,Washington Wizards,Cleveland Cavaliers,97.0,85.0
2015-12-01,Los Angeles Lakers,Philadelphia 76ers,91.0,103.0
2015-12-01,Phoenix Suns,Brooklyn Nets,91.0,94.0
2015-12-01,Dallas Mavericks,Portland Trail Blazers,115.0,112.0
2015-12-01,Orlando Magic,Minnesota Timberwolves,96.0,93.0
2015-12-02,Indiana Pacers,LA Clippers,103.0,91.0
2015-12-02,Philadelphia 76ers,New York Knicks,87.0,99.0
2015-12-02,Phoenix Suns,Detroit Pistons,122.0,127.0
2015-12-02,Denver Nuggets,Chicago Bulls,90.0,99.0
2015-12-02,New Orleans Pelicans,Houston Rockets,101.0,108.0
2015-12-02,Toronto Raptors,Atlanta Hawks,96.0,86.0
2015-12-02,Milwaukee Bucks,San Antonio Spurs,70.0,95.0
2015-12-02,Golden State Warriors,Charlotte Hornets,116.0,99.0
2015-12-02,Los Angeles Lakers,Washington Wizards,108.0,104.0
2015-12-03,Boston Celtics,Sacramento Kings,114.0,97.0
2015-12-03,San Antonio Spurs,Memphis Grizzlies,103.0,83.0
2015-12-03,Indiana Pacers,Portland Trail Blazers,111.0,123.0
2015-12-03,Orlando Magic,Utah Jazz,103.0,94.0
2015-12-03,Oklahoma City Thunder,Miami Heat,95.0,97.0
2015-12-03,Denver Nuggets,Toronto Raptors,106.0,105.0
2015-12-04,Brooklyn Nets,New York Knicks,91.0,108.0
2015-12-04,Milwaukee Bucks,Detroit Pistons,95.0,102.0
2015-12-04,Houston Rockets,Dallas Mavericks,100.0,96.0
2015-12-04,Los Angeles Lakers,Atlanta Hawks,87.0,100.0
2015-12-04,Cleveland Cavaliers,New Orleans Pelicans,108.0,114.0
2015-12-04,Phoenix Suns,Washington Wizards,106.0,109.0
2015-12-05,Orlando Magic,LA Clippers,101.0,103.0
