home_team,visitor_team,home_points,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_ts%,home_ts%,home_win
Detroit Pistons,Washington Wizards,112.0,123.38187702265373,113.77488825680618,113.2686084142395,123.93336042259244,0.6497656582871751,0.6124234470691163,0
Denver Nuggets,Phoenix Suns,100.0,111.5702479338843,103.90689941812137,103.30578512396696,112.21945137157108,0.6013363028953229,0.5731315910132967,0
Los Angeles Lakers,Indiana Pacers,99.0,86.2414761331729,105.14018691588785,99.27797833935018,91.3338997451147,0.41861370716510904,0.5745125348189415,1
Utah Jazz,New York Knicks,115.0,112.3703419131771,108.28625235404897,110.44948136765271,110.16949152542372,0.5901937046004843,0.5518234165067178,0
Cleveland Cavaliers,Oklahoma City Thunder,124.0,135.38236370289061,109.85116938341602,113.42846688620565,131.11268603827074,0.6588319088319089,0.6145915939730373,0
Atlanta Hawks,Chicago Bulls,97.0,111.61596207032794,91.4059555220505,95.81193204267089,106.48322653599698,0.6331241595696997,0.4749314531923227,0
New Orleans Pelicans,Memphis Grizzlies,111.0,111.77987962166809,115.52872606161533,119.30352536543421,108.24313072439634,0.5840071877807727,0.6027367506516073,1
Charlotte Hornets,Miami Heat,105.0,107.85510785510786,106.88110749185668,106.83760683760684,107.89902280130295,0.5743389683571738,0.5290205562273277,0
Philadelphia 76ers,Milwaukee Bucks,116.0,93.36511720301947,117.93411956079707,115.21652761223677,95.56730378202522,0.512652705061082,0.6212510711225364,1
Houston Rockets,Golden State Warriors,116.0,104.24710424710426,112.88439081354613,111.96911196911196,105.09926041261191,0.6094808126410836,0.5813953488372092,1
Minnesota Timberwolves,Toronto Raptors,115.0,112.0937885643768,120.44407205697527,118.26408885232415,114.16003351487223,0.5908499566348656,0.5780056292722155,1
Utah Jazz,LA Clippers,125.0,106.88611426409382,118.95698515416827,118.2368520620507,107.5371145793681,0.5723257698541329,0.6504995836802665,1
Portland Trail Blazers,Dallas Mavericks,117.0,115.73081868838406,122.64150943396226,125.37505357908275,113.20754716981132,0.5665127989928662,0.6471238938053097,1
Boston Celtics,Orlando Magic,95.0,107.246980424823,99.83186212694409,98.91711786755518,108.23875577973938,0.5199919224555735,0.5210618692408951,0
Los Angeles Lakers,New York Knicks,127.0,112.15932914046121,134.76230899830222,133.1236897274633,113.53989813242784,0.626463700234192,0.6334796488427774,1
Detroit Pistons,Brooklyn Nets,100.0,104.33884297520662,103.64842454394693,103.30578512396696,104.68490878938638,0.5686936936936937,0.5129257283545342,0
San Antonio Spurs,Indiana Pacers,86.0,99.49195596951735,88.4046052631579,91.02455546147333,96.62828947368422,0.5137735024048973,0.4926672777268561,0
Charlotte Hornets,Sacramento Kings,112.0,106.36182902584494,110.8910891089109,111.33200795228629,105.94059405940595,0.5164092664092664,0.5773195876288659,1
Atlanta Hawks,Utah Jazz,104.0,92.47842170160297,109.15197313182199,106.86395396629675,94.45843828715365,0.5095108695652174,0.5890348889895786,1
Milwaukee Bucks,Phoenix Suns,109.0,105.21042084168337,113.21146655587869,109.2184368737475,109.05691732447029,0.5979498861047836,0.6244271310724107,1
Memphis Grizzlies,Philadelphia 76ers,105.0,110.21388040157136,111.22881355932203,114.57878655608904,106.9915254237288,0.5966446124763705,0.5620985010706637,1
Houston Rockets,Miami Heat,99.0,96.815834767642,104.29835651074588,106.49741824440619,94.81668773704172,0.5234993020009308,0.5566801619433198,1
New Orleans Pelicans,Chicago Bulls,132.0,102.43277848911652,107.8079059131003,105.63380281690141,104.54099967330939,0.5983545250560957,0.5303760848601736,1
Dallas Mavericks,Washington Wizards,98.0,80.74935400516796,101.575456053068,105.51248923341947,77.7363184079602,0.38312219043727014,0.5186282811176969,1
Denver Nuggets,Portland Trail Blazers,104.0,104.72832849440066,105.56232237109218,107.83907092492741,102.51725537961835,0.5236416424720033,0.5332239540607056,1
LA Clippers,Minnesota Timberwolves,118.0,122.1403644823575,114.92014024152706,114.38542070569989,122.71133619010517,0.5824704142011834,0.6298035866780529,0
Orlando Magic,Sacramento Kings,99.0,109.6949435854576,101.68447000821692,103.42666109486001,107.84716516023008,0.566220880069025,0.5418126094570929,0
Oklahoma City Thunder,Brooklyn Nets,109.0,114.89361702127661,113.44712739383847,115.95744680851064,112.40632805995003,0.6,0.5042561065877128,1
San Antonio Spurs,Cleveland Cavaliers,114.0,104.4653830397378,117.477328936521,116.75542810323638,105.11129431162406,0.5955161139654367,0.5641330166270784,1
Golden State Warriors,New York Knicks,123.0,113.86742578283855,122.02380952380953,125.0508336722245,111.11111111111111,0.6129597197898424,0.6699346405228759,1
Los Angeles Lakers,Boston Celtics,108.0,108.73983739837398,105.01750291715285,109.75609756097559,104.04511863088293,0.5667372881355932,0.5054286783976039,1
Indiana Pacers,Phoenix Suns,116.0,98.28727131179447,115.99999999999999,112.88439081354613,101.0,0.5219098801157502,0.6373626373626373,1
Charlotte Hornets,New Orleans Pelicans,96.0,99.09733124018838,93.53078721745908,94.19152276295134,98.40218238503508,0.5320269700800674,0.48661800486618007,0
Philadelphia 76ers,Chicago Bulls,115.0,96.4845242644249,117.58691206543968,109.85861673672144,103.27198364008181,0.4870756172839506,0.6403118040089087,1
Detroit Pistons,Utah Jazz,95.0,90.70714550166605,87.21997796547925,87.93039614957424,89.97429305912597,0.4755434782608695,0.4527258863896302,0
Atlanta Hawks,Toronto Raptors,93.0,102.85714285714285,88.1683731513083,88.57142857142857,102.3890784982935,0.54,0.45821836815135986,0
Dallas Mavericks,Houston Rockets,97.0,110.49723756906076,103.2793867120954,103.05992350191244,110.73253833049404,0.5644811115935736,0.5393683274021353,0
Memphis Grizzlies,San Antonio Spurs,85.0,113.68421052631578,87.48456154796213,89.47368421052632,111.15685467270482,0.5806451612903226,0.4766711529834006,0
Portland Trail Blazers,Minnesota Timberwolves,123.0,120.40557667934092,129.14741705165898,129.91128010139417,119.69760604787905,0.6084543125533731,0.6740464708461201,1
LA Clippers,Boston Celtics,102.0,106.92657077971232,96.99505515405097,96.51778955336864,107.45530620007608,0.5502532138683287,0.5303660565723793,0
Miami Heat,Sacramento Kings,88.0,93.52669188734762,91.74311926605505,92.47583018074822,92.78565471226021,0.5105553005966039,0.4893238434163701,0
Oklahoma City Thunder,Washington Wizards,121.0,107.65090349865436,120.08733624454149,116.30142252979623,111.155220325526,0.6018916595012898,0.6064554931836407,1
Denver Nuggets,New York Knicks,130.0,118.52149457613498,128.00315084679008,130.57452792286057,116.18747538400945,0.6374243733794296,0.717756183745583,1
