home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Los Angeles Lakers,New York Knicks,107.0,127.0,44.0,51.0,112.15932914046121,134.76230899830222,133.1236897274633,113.53989813242784,234.0
Detroit Pistons,Brooklyn Nets,101.0,100.0,37.0,38.0,104.33884297520662,103.64842454394693,103.30578512396696,104.68490878938638,201.0
San Antonio Spurs,Indiana Pacers,94.0,86.0,37.0,35.0,99.49195596951735,88.4046052631579,91.02455546147333,96.62828947368422,180.0
Charlotte Hornets,Sacramento Kings,107.0,112.0,43.0,38.0,106.36182902584494,110.8910891089109,111.33200795228629,105.94059405940595,219.0
Atlanta Hawks,Utah Jazz,90.0,104.0,33.0,40.0,92.47842170160297,109.15197313182199,106.86395396629675,94.45843828715365,194.0
Milwaukee Bucks,Phoenix Suns,105.0,109.0,39.0,38.0,105.21042084168337,113.21146655587869,109.2184368737475,109.05691732447029,214.0
Memphis Grizzlies,Philadelphia 76ers,101.0,105.0,32.0,33.0,110.21388040157136,111.22881355932203,114.57878655608904,106.9915254237288,206.0
Houston Rockets,Miami Heat,90.0,99.0,39.0,36.0,96.815834767642,104.29835651074588,106.49741824440619,94.81668773704172,189.0
New Orleans Pelicans,Chicago Bulls,128.0,132.0,45.0,47.0,102.43277848911652,107.8079059131003,105.63380281690141,104.54099967330939,260.0
Dallas Mavericks,Washington Wizards,75.0,98.0,26.0,38.0,80.74935400516796,101.575456053068,105.51248923341947,77.7363184079602,173.0
Denver Nuggets,Portland Trail Blazers,101.0,104.0,36.0,34.0,104.72832849440066,105.56232237109218,107.83907092492741,102.51725537961835,205.0
LA Clippers,Minnesota Timberwolves,126.0,118.0,43.0,47.0,122.1403644823575,114.92014024152706,114.38542070569989,122.71133619010517,244.0
Orlando Magic,Sacramento Kings,105.0,99.0,43.0,36.0,109.6949435854576,101.68447000821692,103.42666109486001,107.84716516023008,204.0
Oklahoma City Thunder,Brooklyn Nets,108.0,109.0,37.0,40.0,114.89361702127661,113.44712739383847,115.95744680851064,112.40632805995003,217.0
San Antonio Spurs,Cleveland Cavaliers,102.0,114.0,35.0,47.0,104.4653830397378,117.477328936521,116.75542810323638,105.11129431162406,216.0
